Group,Transaction_Load,TPS_mean,TPS_std,TPS_min,TPS_max,Latency_ms_mean,Latency_ms_std,Latency_ms_min,Latency_ms_max,Success_Rate_mean,Success_Rate_std,Success_Rate_min,Success_Rate_max,Repeat_Selected,N,Experimental_Scenario,Key_Metrics,TPS_cv,Latency_ms_cv,Success_Rate_cv,Node_Count,Throughput_per_Node_mean,Throughput_per_Node_std,Throughput_per_Node_min,Throughput_per_Node_max,Propagation_Time_s_mean,Propagation_Time_s_std,Propagation_Time_s_min,Propagation_Time_s_max,Storage_Overhead_MB_mean,Storage_Overhead_MB_std,Storage_Overhead_MB_min,Storage_Overhead_MB_max,Throughput_per_Node_cv,Propagation_Time_s_cv,Storage_Overhead_MB_cv,Fault_Scenario,Downtime_s_mean,Downtime_s_std,Downtime_s_min,Downtime_s_max,Consensus_Recovery_s_mean,Consensus_Recovery_s_std,Consensus_Recovery_s_min,Consensus_Recovery_s_max,Fork_Rate_mean,Fork_Rate_std,Fork_Rate_min,Fork_Rate_max,Downtime_s_cv,Consensus_Recovery_s_cv,Fork_Rate_cv,Byzantine_Percentage,Fault_Tolerance_Score_mean,Fault_Tolerance_Score_std,Fault_Tolerance_Score_min,Fault_Tolerance_Score_max,Attack_Cost_mean,Attack_Cost_std,Attack_Cost_min,Attack_Cost_max,Double_Spend_Window_s_mean,Double_Spend_Window_s_std,Double_Spend_Window_s_min,Double_Spend_Window_s_max,Fault_Tolerance_Status,Fault_Tolerance_Score_cv,Attack_Cost_cv,Double_Spend_Window_s_cv,Contract_Complexity,Gas_Fee_mean,Gas_Fee_std,Gas_Fee_min,Gas_Fee_max,CPU_Usage_Percent_mean,CPU_Usage_Percent_std,CPU_Usage_Percent_min,CPU_Usage_Percent_max,RAM_Usage_Percent_mean,RAM_Usage_Percent_std,RAM_Usage_Percent_min,RAM_Usage_Percent_max,Bandwidth_MBps_mean,Bandwidth_MBps_std,Bandwidth_MBps_min,Bandwidth_MBps_max,Energy_Consumption_Wh_mean,Energy_Consumption_Wh_std,Energy_Consumption_Wh_min,Energy_Consumption_Wh_max,Gas_Fee_cv,CPU_Usage_Percent_cv,RAM_Usage_Percent_cv,Bandwidth_MBps_cv,Energy_Consumption_Wh_cv
Scalability,,,,,,,,,,,,,,5,5,"Mot leader mine block roi replicate qua 4, 8, 16, 32 node local; co them peer-delay emulation 3 ms/node.",Throughput per Node; Propagation Time; Storage Overhead,,,,16.0,1.9616151636394192,0.08682855909512718,1.8268115964563747,2.031309268563651,3.0067690799827687,0.11936039364241685,2.9102361999684945,3.186627099988982,2.1550750732421875,0.0,2.1550750732421875,2.1550750732421875,0.04426380908171235,0.03969722664671704,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,,,,,,,,,,,,,,5,5,"Mot leader mine block roi replicate qua 4, 8, 16, 32 node local; co them peer-delay emulation 3 ms/node.",Throughput per Node; Propagation Time; Storage Overhead,,,,32.0,0.493576312219181,0.008843776262951396,0.48385705014177194,0.5035494353742342,6.151147580007091,0.10367914279268473,6.035789999994449,6.24694450001698,4.310150146484375,0.0,4.310150146484375,4.310150146484375,0.017917748571013605,0.01685525203941948,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience,,,,,,,,,,,,,,5,5,Fault emulation tren cum local 8 node voi hai tinh huong Network Partition va Validator Down.,Downtime; Consensus Recovery; Fork Rate,,,,,,,,,,,,,,,,,,,,Network Partition,1.142404940002598,0.00808351062833903,1.1371372999856248,1.1567118000239134,0.6831838599871844,0.015623961737197165,0.6697830999619327,0.7013111999840476,0.5,0.0,0.5,0.5,0.007075871562950916,0.022869336722167656,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience,,,,,,,,,,,,,,5,5,Fault emulation tren cum local 8 node voi hai tinh huong Network Partition va Validator Down.,Downtime; Consensus Recovery; Fork Rate,,,,,,,,,,,,,,,,,,,,Validator Down,0.30495185998734087,0.02081288509322215,0.2898820000118576,0.3395477999583818,0.47604653999442237,0.022843392776912854,0.45640199998160824,0.5129905000212602,0.0,0.0,0.0,0.0,0.06824973979199908,0.04798562925629183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,5,5,"Validator-committee emulation 10 node, de xuat block hop le va block gian mao, do thoi gian dat quorum va nguong chiu Byzantine.",Fault Tolerance; Attack Cost; Double Spend Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,1.0,1.0,1872.03125,0.0,1872.03125,1872.03125,0.05959183090179008,0.003074033310325067,0.05520806070751201,0.06264831235540912,Pass,0.0,0.0,0.05158481059914416,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,5,5,"Validator-committee emulation 10 node, de xuat block hop le va block gian mao, do thoi gian dat quorum va nguong chiu Byzantine.",Fault Tolerance; Attack Cost; Double Spend Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,1.0,3744.0625,0.0,3744.0625,3744.0625,0.055421308290953576,0.00863199702031,0.04509841968190009,0.06625239883416727,Pass,0.0,0.0,0.1557523141639549,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,5,5,"Validator-committee emulation 10 node, de xuat block hop le va block gian mao, do thoi gian dat quorum va nguong chiu Byzantine.",Fault Tolerance; Attack Cost; Double Spend Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,0.0,1.0,1.0,5616.09375,0.0,5616.09375,5616.09375,0.061592710724827505,0.0035195249354495724,0.05723202850809811,0.064890366057773,Pass,0.0,0.0,0.05714190679435191,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,5,5,"Validator-committee emulation 10 node, de xuat block hop le va block gian mao, do thoi gian dat quorum va nguong chiu Byzantine.",Fault Tolerance; Attack Cost; Double Spend Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,0.0,1.0,1.0,7488.125,0.0,7488.125,7488.125,0.06718124634170278,0.001603961059821142,0.0650578573813183,0.06940424594898639,Pass,0.0,0.0,0.02387513103973903,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,5,5,"Validator-committee emulation 10 node, de xuat block hop le va block gian mao, do thoi gian dat quorum va nguong chiu Byzantine.",Fault Tolerance; Attack Cost; Double Spend Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,0.0,0.0,0.0,9360.15625,0.0,9360.15625,9360.15625,0.20673109516381186,0.0047289065805372794,0.19972453408197358,0.2124501451482263,Fail,,0.0,0.02287467483684608,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource_Cost,,,,,,,,,,,,,,5,5,Do truc tiep tren cac flow smart-contract low/medium/high dua theo tx count va kich thuoc payload trong backend2.,Gas/Fee Proxy; CPU Usage; RAM Usage; Bandwidth; Energy Proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,13190.576171875,0.0,13190.576171875,13190.576171875,70.13335884556935,32.98594209982366,52.95604904161936,128.97199336614182,0.027761422097682953,0.0,0.027761422097682953,0.027761422097682953,1.5178057151776625,0.17468248199000055,1.2326229574316159,1.6903800612937467,0.00027343749999999997,0.00017469281074217104,0.0001953125,0.0005859375,0.0,0.47033170295546933,0.0,0.1150888287237432,0.6388765649999398
Resource_Cost,,,,,,,,,,,,,,5,5,Do truc tiep tren cac flow smart-contract low/medium/high dua theo tx count va kich thuoc payload trong backend2.,Gas/Fee Proxy; CPU Usage; RAM Usage; Bandwidth; Energy Proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,1158.49609375,0.0,1158.49609375,1158.49609375,28.708528040408037,39.92122967217674,0.0,81.6067521531221,0.0044073909521102905,5.161174266357363e-05,0.004320219159126282,0.004450604319572449,0.23147609896475965,0.03481986506716984,0.17309840782226316,0.25990362372525955,7.8125e-05,0.00010697706201272776,0.0,0.0001953125,0.0,1.3905704122477656,0.011710271047968086,0.1504253148506312,1.3693063937629153
Resource_Cost,,,,,,,,,,,,,,5,5,Do truc tiep tren cac flow smart-contract low/medium/high dua theo tx count va kich thuoc payload trong backend2.,Gas/Fee Proxy; CPU Usage; RAM Usage; Bandwidth; Energy Proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,4085.009765625,0.0,4085.009765625,4085.009765625,13.539920009465192,30.276181551073766,0.0,67.69960004732596,0.009469985961914062,5.581101569998485e-06,0.009460002183914185,0.009472481906414032,0.57538232406312,0.02669991886661784,0.536939715574269,0.6034319340291345,3.90625e-05,8.734640537108554e-05,0.0,0.0001953125,0.0,2.23606797749979,0.0005893463403688551,0.04640378709946056,2.23606797749979
