Group,Repeat_Setting,Repeat,Transaction_Load,TPS,Latency_ms,Success_Rate,Elapsed_s,CPU_Time_s,Peak_Memory_MB,Bytes_Written_MB,Block_File_KB,Success_SLA_ms,Node_Count,Throughput_per_Node,Propagation_Time_s,Storage_Overhead_MB,Peer_Delay_ms,Fault_Scenario,Downtime_s,Consensus_Recovery_s,Fork_Rate,Cluster_Size,Minority_Partition_Size,Byzantine_Percentage,Fault_Tolerance_Score,Fault_Tolerance_Status,Attack_Cost,Double_Spend_Window_s,Committee_Size,Quorum,Header_Only_Validation,Contract_Complexity,Gas_Fee,CPU_Usage_Percent,RAM_Usage_Percent,Bandwidth_MBps,Energy_Consumption_Wh,Payload_KB
Performance,5,1,100.0,478.6926711989095,192.46729001577478,100.0,0.2089022999862209,0.171875,0.8230180740356445,0.14079570770263672,124.568359375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,500.0,492.6105462593238,945.6801106175408,100.0,1.0150005999603309,0.96875,4.108576774597168,0.7004117965698242,623.005859375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,1000.0,487.4701406265696,1896.1738534825854,100.0,2.051407699997071,2.0,8.240885734558105,1.3999338150024414,1246.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,1500.0,525.428810333879,2620.4679559180126,100.0,2.8548110999981873,2.671875,12.291295051574707,2.1018381118774414,1871.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,2000.0,473.90986396022305,3924.922499575507,100.0,4.2202117999549955,3.984375,16.307610511779785,2.8037424087524414,2496.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,2500.0,519.0435306651392,4441.557531129942,100.0,4.8165517000015825,4.65625,20.421446800231934,3.5056467056274414,3121.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,3000.0,487.31940491148055,5699.36481485477,37.43333333333334,6.1561266999924555,5.84375,24.661168098449707,4.207551002502441,3746.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,1,3500.0,504.9784381409991,6409.406955905508,0.0,6.930989000014961,6.546875,28.6600923538208,4.909455299377441,4371.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,100.0,488.6195617076234,190.672514984617,100.0,0.20465820003300905,0.171875,0.8051958084106445,0.14079570770263672,124.568359375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,500.0,528.7736406586491,873.7695535799721,100.0,0.9455842000315897,0.90625,4.0969648361206055,0.7004117965698242,623.005859375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,1000.0,532.2143207956948,1736.9307457743562,100.0,1.8789422999834642,1.796875,8.2307710647583,1.3999338150024414,1246.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,1500.0,515.3926303985778,2693.159536062352,100.0,2.910402500012424,2.859375,12.29239559173584,2.1018381118774414,1871.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,2000.0,515.1370046772523,3573.9930490544943,100.0,3.882462300010957,3.796875,16.3073091506958,2.8037424087524414,2496.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,2500.0,525.7638260038856,4397.918526839604,100.0,4.754986700019799,4.59375,20.423718452453613,3.5056467056274414,3121.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,3000.0,512.5578291245274,5378.510429904272,70.76666666666667,5.852998099988326,5.59375,24.678425788879395,4.207551002502441,3746.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,2,3500.0,499.3388967036459,6493.230410744835,0.0,7.0092676999629475,6.75,28.658543586730957,4.909455299377441,4371.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,100.0,450.0804518777174,207.66908399877138,100.0,0.22218250000150874,0.203125,0.8028726577758789,0.14079570770263672,124.568359375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,500.0,489.1777255048693,947.0214237913024,100.0,1.022123400005512,0.953125,4.098394393920898,0.7004117965698242,623.005859375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,1000.0,526.6990045881228,1754.8799869769718,100.0,1.8986175999743864,1.8125,8.233843803405762,1.3999338150024414,1246.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,1500.0,510.35925515810055,2703.9045379351205,100.0,2.9391060999478213,2.78125,12.290875434875488,2.1018381118774414,1871.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,2000.0,492.7549136373133,3747.7316376727254,100.0,4.058812899980694,3.953125,16.315829277038574,2.8037424087524414,2496.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,2500.0,524.301445394399,4406.279129221243,100.0,4.768249300017487,4.640625,20.420903205871582,3.5056467056274414,3121.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,3000.0,516.1595445020112,5364.366834620402,76.56666666666668,5.812156400003005,5.625,24.66371250152588,4.207551002502441,3746.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,3,3500.0,515.5764635407845,6257.837072578026,0.0,6.788517799985129,6.609375,28.66114330291748,4.909455299377441,4371.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,100.0,484.00812944892044,191.30024201062042,100.0,0.20660809997934848,0.203125,0.8139944076538086,0.14079570770263672,124.568359375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,500.0,525.3195624001129,877.3774910159409,100.0,0.9518015999929048,0.890625,4.092450141906738,0.7004117965698242,623.005859375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,1000.0,528.5565912218208,1740.2982038871269,100.0,1.8919450000394136,1.796875,8.231022834777832,1.3999338150024414,1246.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,1500.0,523.807852616771,2635.4709250959568,100.0,2.8636454999796115,2.71875,12.293145179748535,2.1018381118774414,1871.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,2000.0,533.4080673573944,3452.339633447409,100.0,3.749474600015674,3.5625,16.306675910949707,2.8037424087524414,2496.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,2500.0,505.1978084819025,4532.399292868399,100.0,4.948556700022891,4.765625,20.42477512359619,3.5056467056274414,3121.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,3000.0,473.3533913179096,5870.581689589637,20.533333333333335,6.337759599962737,5.65625,24.660222053527832,4.207551002502441,3746.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,4,3500.0,484.4113855660781,6666.674601440417,0.0,7.225263700005598,6.515625,28.660414695739746,4.909455299377441,4371.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,100.0,441.72850122987023,211.61625599081162,100.0,0.2263834000332281,0.21875,0.799839973449707,0.14079570770263672,124.568359375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,500.0,481.5519378938353,961.8764556100359,100.0,1.0383095999713987,1.015625,4.109463691711426,0.7004117965698242,623.005859375,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,1000.0,489.5408136422338,1878.2956378802774,100.0,2.0427306000492536,1.96875,8.241089820861816,1.3999338150024414,1246.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,1500.0,509.7979772534266,2717.272757659705,100.0,2.9423420000239275,2.8125,12.294962882995605,2.1018381118774414,1871.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,2000.0,519.2771786314261,3560.5234664824675,100.0,3.851507599989418,3.703125,16.308390617370605,2.8037424087524414,2496.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,2500.0,501.23921370853,4570.55353197325,100.0,4.987638499995228,4.78125,20.421788215637207,3.5056467056274414,3121.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
